"時点","東京都"
"1975年","15.6"
"1976年","15.0"
"1977年","15.8"
"1978年","16.1"
"1979年","16.9"
"1980年","15.4"
"1981年","15.0"
"1982年","16.0"
"1983年","15.7"
"1984年","14.9"
"1985年","15.7"
"1986年","15.2"
"1987年","16.3"
"1988年","15.4"
"1989年","16.4"
"1990年","17.0"
"1991年","16.4"
"1992年","16.0"
"1993年","15.5"
"1994年","16.9"
"1995年","16.3"
"1996年","15.8"
"1997年","16.7"
"1998年","16.7"
"1999年","17.0"
"2000年","16.9"
"2001年","16.5"
"2002年","16.7"
"2003年","16.0"
"2004年","17.3"
"2005年","16.2"
"2006年","16.4"
"2007年","17.0"
"2008年","16.4"
"2009年","16.7"
"2010年","16.9"
"2011年","16.5"
"2012年","16.3"
"2013年","17.1"
"2014年","16.6"
"2015年","16.4"
"2016年","16.4"
"2017年","15.8"
"2018年","16.8"
"2019年","16.5"
