"時点","東京都"
"1975年","0.8"
"1976年","0.7"
"1977年","0.0"
"1978年","0.6"
"1979年","2.4"
"1980年","1.3"
"1981年","0.6"
"1982年","1.8"
"1983年","2.4"
"1984年","0.0"
"1985年","0.5"
"1986年","0.8"
"1987年","1.9"
"1988年","1.1"
"1989年","4.3"
"1990年","1.7"
"1991年","2.5"
"1992年","3.1"
"1993年","3.3"
"1994年","2.1"
"1995年","2.5"
"1996年","1.7"
"1997年","2.7"
"1998年","1.9"
"1999年","2.5"
"2000年","2.4"
"2001年","1.7"
"2002年","3.4"
"2003年","2.0"
"2004年","3.1"
"2005年","2.5"
"2006年","2.0"
"2007年","4.6"
"2008年","1.9"
"2009年","3.5"
"2010年","3.0"
"2011年","1.5"
"2012年","1.8"
"2013年","1.8"
"2014年","2.5"
"2015年","1.8"
"2016年","1.8"
"2017年","1.7"
"2018年","0.6"
"2019年","1.4"
